"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.142578125E3,1.889741669E0
1.144042969E3,3.381283238E0
1.145507812E3,1.758320055E0
1.146972656E3,9.423585881E0
1.148437500E3,1.728510497E0
1.149902344E3,1.901450108E0
1.151367188E3,5.384943334E0
1.152832031E3,5.415732114E0
1.154296875E3,6.129627757E0
1.155761719E3,9.323100481E0
1.157226562E3,5.801815859E0
1.158691406E3,3.009088674E0
1.160156250E3,7.939351437E0
1.161621094E3,8.105352523E-1
1.163085938E3,3.712693129E0
1.164550781E3,4.627387630E0
1.166015625E3,5.752177022E0
1.167480469E3,1.476718368E0
1.168945312E3,3.828880084E0
1.170410156E3,1.923909432E0
1.171875000E3,3.449662613E0
1.173339844E3,5.900214382E0
1.174804688E3,2.008444856E0
1.176269531E3,4.754632174E0
1.177734375E3,3.420123127E0
1.179199219E3,5.669254806E0
1.180664062E3,4.882074109E0
1.182128906E3,3.869994057E0
1.183593750E3,9.874555247E-1
1.185058594E3,6.736583390E0
1.186523438E3,2.946194823E0
1.187988281E3,5.976155495E0
1.189453125E3,2.376962030E0
1.190917969E3,3.451667918E0
1.192382812E3,5.439026221E0
1.193847656E3,1.395610528E0
1.195312500E3,3.614193188E0
1.196777344E3,3.669573178E0
1.198242188E3,1.191334200E0
1.199707031E3,2.294280460E0
1.201171875E3,2.673190731E0
1.202636719E3,1.894597622E0
1.204101562E3,2.524040013E0
1.205566406E3,1.382788387E0
1.207031250E3,2.468446829E-1
1.208496094E3,3.502324279E0
1.209960938E3,9.999368179E-1
1.211425781E3,3.252449470E0
1.212890625E3,6.217418462E0
1.214355469E3,1.924834807E0
1.215820312E3,5.381033343E0
1.217285156E3,5.238756189E0
1.218750000E3,4.704501006E-1
1.220214844E3,2.717857918E0
1.221679688E3,2.356252263E0
1.223144531E3,5.495052657E0
1.224609375E3,2.343505202E0
1.226074219E3,8.425179364E0
1.227539062E3,4.702278014E0
1.229003906E3,2.824616452E0
1.230468750E3,3.603872584E0
1.231933594E3,6.821176297E0
1.233398438E3,7.919496054E0
1.234863281E3,8.779061592E0
1.236328125E3,1.161861532E0
1.237792969E3,1.476308302E0
1.239257812E3,3.817740807E0
1.240722656E3,5.595893310E0
1.242187500E3,7.199622822E0
1.243652344E3,1.245280267E0
1.245117188E3,3.966332175E0
1.246582031E3,1.424807291E0
1.248046875E3,4.724516080E0
1.249511719E3,5.735471068E0
1.250976562E3,5.810016777E0
1.252441406E3,6.387669295E0
1.253906250E3,2.682075045E0
1.255371094E3,3.081534268E0
1.256835938E3,5.702189142E0
1.258300781E3,2.384903292E0
1.259765625E3,1.656408647E0
